,0
0,(DL[i+1] & V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V1[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i]) | (DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i+1] & ~V1[i]) | (DL[i+1] & DL[i-1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i]) | (DL[i+1] & V1[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1] & ~V1[i])
1,(V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1]) | (V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i]) | (V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1]) | (V1[i+1] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i-1]) | (~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i]) | (V0[i-1] & V1[i+1] & ~DL[i+1] & ~DL[i] & ~V1[i-1]) | (V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]) | (V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i]) | (V1[i-1] & V1[i] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (V1[i-1] & V1[i] & ~DL[i] & ~V0[i-1] & ~V0[i]) | (V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (V1[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (V0[i-1] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1]) | (DL[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V0[i-1] & V1[i+1] & V1[i] & ~DL[i] & ~V0[i+1] & ~V0[i] & ~V1[i-1])
2,(DL[i] & V0[i+1] & V0[i] & ~DL[i+1]) | (DL[i] & V0[i-1] & V0[i] & ~V1[i-1]) | (DL[i] & V0[i+1] & ~DL[i+1] & ~V1[i]) | (DL[i] & V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i] & V0[i] & ~DL[i+1] & ~V1[i+1]) | (DL[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & ~DL[i+1] & ~V1[i-1]) | (DL[i] & V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & V0[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]) | (V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i+1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i])
3,(DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i]) | (V0[i] & V1[i-1] & V1[i] & ~V0[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & V0[i] & V1[i] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i+1] & ~V1[i+1]) | (V0[i+1] & V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i-1]) | (V0[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~V1[i-1]) | (DL[i+1] & V0[i-1] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1]) | (DL[i] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & ~DL[i] & ~V1[i-1]) | (DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i-1] & V1[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & V0[i] & V1[i] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1]) | (V0[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i])
4,(DL[i+1] & DL[i]) | (V0[i] & ~DL[i]) | (V0[i] & ~V1[i]) | (~DL[i] & ~V1[i]) | (DL[i+1] & V1[i-1] & ~V0[i-1]) | (V0[i] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i] & V1[i-1] & ~V0[i-1] & ~V0[i]) | (V0[i] & V1[i-1] & ~V0[i+1] & ~V0[i-1]) | (DL[i] & V1[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i]) | (DL[i] & V1[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i])
5,(DL[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i]) | (DL[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]) | (DL[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i])
6,(~V0[i] & ~V1[i]) | (V0[i+1] & ~V0[i] & ~V1[i+1]) | (V0[i+1] & ~V1[i+1] & ~V1[i]) | (V1[i+1] & ~V0[i+1] & ~V0[i]) | (V1[i+1] & ~V0[i+1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V1[i-1] & ~DL[i-1] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & V0[i-1] & ~DL[i-1] & ~DL[i] & ~V1[i+1])
7,(V0[i] & ~V1[i]) | (V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i-1]) | (V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i-1]) | (V1[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (V1[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i])
8,(V0[i] & V1[i]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i+1]) | (~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1]) | (~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (~DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1]) | (V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i+1]) | (~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i]) | (~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V1[i]) | (V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (V1[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V1[i])
9,(V0[i] & ~V1[i]) | (V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1]) | (DL[i] & V1[i+1] & ~DL[i+1] & ~DL[i-1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i+1]) | (V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i]) | (V0[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i]) | (V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1]) | (V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i]) | (V1[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i]) | (V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i]) | (DL[i] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i-1]) | (V0[i-1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i]) | (~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]) | (DL[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i+1] & ~V0[i]) | (V1[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1])
